[I][2017-04-19 20:19:43] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-04-19 20:19:43] 0.025 | 4.74396 | 40.6437 | -nan | -nan | -nan | -nan | -nan | 0 | -nan | -nan | -nan | -nan | 
[I][2017-04-19 20:19:43] 0.05 | -nan | -nan | nan | -nan | -nan | nan | nan | -nan | -nan | -nan | -nan | -nan | 
[I][2017-04-19 20:19:43] 0.075 | -nan | -nan | nan | nan | -nan | nan | nan | -nan | -nan | -nan | -nan | -nan | 
[I][2017-04-19 20:19:43] 0.1 | -nan | nan | nan | nan | nan | nan | nan | -nan | nan | nan | -nan | nan | 
[I][2017-04-19 20:19:43] 0.125 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.15 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.175 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.2 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.225 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.25 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.275 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.3 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.325 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.35 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.375 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.4 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.425 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.45 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.475 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.5 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.525 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:44] 0.55 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:45] 0.575 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:45] 0.6 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:45] 0.625 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:45] 0.65 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:45] 0.675 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:45] 0.7 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:45] 0.725 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:45] 0.75 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:46] 0.775 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:46] 0.8 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:46] 0.825 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:46] 0.85 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:46] 0.875 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:46] 0.9 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:47] 0.925 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:47] 0.95 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:47] 0.975 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:47] 1 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:47] 1.025 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:47] 1.05 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:47] 1.075 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:48] 1.1 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:48] 1.125 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:48] 1.15 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:48] 1.175 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:48] 1.2 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:48] 1.225 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:48] 1.25 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:49] 1.275 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:49] 1.3 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:49] 1.325 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:49] 1.35 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:49] 1.375 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:49] 1.4 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:49] 1.425 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:50] 1.45 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:50] 1.475 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:50] 1.5 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:51] 1.525 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:51] 1.55 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
